Código;Descripción;Unidad;Sub Grupo;Grupo
3721;ADHESIVO BOND CARTA PAQ X 100 UN;PAQUETE;PAPELERIA;PAPELERIA Y OFICINA
3720;ADHESIVO ROTULO PARA CD PAQ X 50 UN;PAQUETE;PAPELERIA;PAPELERIA Y OFICINA
2937;AGENDA TAMAÑO CARTA;UNIDAD;PAPELERIA;PAPELERIA Y OFICINA
2894;ALMOHADILLA PARA SELLOS GRANDE;UNIDAD;PAPELERIA;PAPELERIA Y OFICINA
1060;ACETAMINOFEN 500 GR CAJA X 300 UN;CAJA;MEDICAMENTOS;MEDICOQUIRURGICOS
3496;ACETAMINOFEN JARABE X 90 ML;UNIDAD;MEDICAMENTOS;MEDICOQUIRURGICOS
3765;ACIDO FUSIDICO CREMA 2% X 15 GR;UNIDAD;MEDICAMENTOS;MEDICOQUIRURGICOS
2166;ACIDO PERACETICO DESIPER 15% X 3.800 ML;GALON;LABORATORIO;MEDICOQUIRURGICOS
2797;ACEITE CRISTAL USP X 1.900 ML;BOTELLA;ASEO;ASEO Y CAFETERIA
2832;ACEITE X 1.000 ML;BOTELLA;CAFETERIA;ASEO Y CAFETERIA
3306;ACEITE X 3.000 ML;BOTELLA;CAFETERIA;ASEO Y CAFETERIA
2953;ACIDO NITRICO 60% X KL;BOLSA;ASEO;ASEO Y CAFETERIA
1451;ANTEOJOS DE SEGURIDAD CLARO DUKE EN166F;UNIDAD;SEGURIDAD INDUSTRIAL;SEGURIDAD INDUSTRIAL
3343;ANTEOJOS DE SEGURIDAD REF 70590 TRANSP ANTIEMP RACHET SOSEGA;UNIDAD;SEGURIDAD INDUSTRIAL;SEGURIDAD INDUSTRIAL
3632;ANTEOJOS DE SEGURIDAD REF: 20575 TRANSP ASTRO;UNIDAD;SEGURIDAD INDUSTRIAL;SEGURIDAD INDUSTRIAL
3583;ANTEOJOS DE SEGURIDAD REF: 901259140236 STEELPRO;UNIDAD;SEGURIDAD INDUSTRIAL;SEGURIDAD INDUSTRIAL
3705;SILLA PLASTICA CON ANTEBRAZOS VANI PLAST;UNIDAD;MUEBLES Y ENSERES;MUEBLES Y ENSERES
