Código;Descripción;Unidad;Sub Grupo;Grupo
2797;ACEITE CRISTAL USP X 1.900 ML;BOTELLA;ASEO;ASEO Y CAFETERIA
2832;ACEITE X 1.000 ML;BOTELLA;CAFETERIA;ASEO Y CAFETERIA
3306;ACEITE X 3.000 ML;BOTELLA;CAFETERIA;ASEO Y CAFETERIA
2953;ACIDO NITRICO 60% X KL;BOLSA;ASEO;ASEO Y CAFETERIA
2296;ACIDO NITRICO X 3.800 CC;GALON;ASEO;ASEO Y CAFETERIA
2471;ACIDO OXALICO X 1 KG;BOLSA;ASEO;ASEO Y CAFETERIA
3170;ACIDO OXALICO X 3.800 GR;BOLSA;ASEO;ASEO Y CAFETERIA
3193;ACONDICIONADOR DE CABELLO X 2 LT;BOTELLA;ASEO;ASEO Y CAFETERIA
2833;AGUA DESIONIZADA X 19 KG;CANECA;ASEO;ASEO Y CAFETERIA
2769;AJAX BICARBONATO LIQUIDO X 2.000 ML;BOTELLA;ASEO;ASEO Y CAFETERIA
2658;AJAX BICARBONATO LIQUIDO X 3.000 ML;GALON;ASEO;ASEO Y CAFETERIA
3677;ALCOHOL ANTISEPTICO GLICERINADO X 1.000 ML BERHLAN;LITRO;ASEO;ASEO Y CAFETERIA
3670;ALCOHOL ANTISEPTICO X 19 LT BERHLAN;CANECA;ASEO;ASEO Y CAFETERIA
3566;ALCOHOL ETILICO AL 70 % X 1.000 ML BERHLAN;LITRO;ASEO;ASEO Y CAFETERIA
3671;ALCOHOL ETILICO AL 70 % X 19.000 ML BMAX;CANECA;ASEO;ASEO Y CAFETERIA
3567;ALCOHOL ETILICO AL 70 % X 4.000 ML BERHLAN;GALON;ASEO;ASEO Y CAFETERIA
3020;ALCOHOL ETILICO AL 90 % X 1.900 ML;BOTELLA;ASEO;ASEO Y CAFETERIA
3163;ALCOHOL ETILICO AL 96 % X 1.900 ML;BOTELLA;ASEO;ASEO Y CAFETERIA
2984;ALCOHOL INDUSTRIAL AL 96 % X 19 LT;CANECA;ASEO;ASEO Y CAFETERIA
2841;AMBIENTADOR AEROSOL AIRWICK X 250 ML;UNIDAD;ASEO;ASEO Y CAFETERIA
1969;AMBIENTADOR AIRE X 3.800 ML FRUIT DYILOP;GALON;ASEO;ASEO Y CAFETERIA
2139;AMBIENTADOR AIRES X 250 ML PARAISO FLORAL BERHLAN;BOTELLA;ASEO;ASEO Y CAFETERIA
1987;AMBIENTADOR AIRES X 3.800 ML AMANECER FRUTAL BERHLAN;GALON;ASEO;ASEO Y CAFETERIA
3664;AMBIENTADOR AIRES X 3.800 ML DELICIA SILVESTRE BERHLAN;GALON;ASEO;ASEO Y CAFETERIA
1622;AMBIENTADOR BONAIRE VARITA;UNIDAD;ASEO;ASEO Y CAFETERIA
3401;AMBIENTADOR BONAIRE X 25 ML REPUESTO;UNIDAD;ASEO;ASEO Y CAFETERIA
2825;AMBIENTADOR BONAIRE X 250 ML REPUESTO;FRASCO;ASEO;ASEO Y CAFETERIA
1958;AMBIENTADOR BONAIRE X 400 ML;FRASCO;ASEO;ASEO Y CAFETERIA
2457;AMBIENTADOR BRIZZE X 360 ML;UNIDAD;ASEO;ASEO Y CAFETERIA
2994;AMBIENTADOR ELECTRICO BONAIRE X 25 ML;UNIDAD;ASEO;ASEO Y CAFETERIA
2995;AMBIENTADOR ELECTRICO BRIZZE X 20 ML;UNIDAD;ASEO;ASEO Y CAFETERIA
3016;AMBIENTADOR FABULOSO X 2.000 ML;BOTELLA;ASEO;ASEO Y CAFETERIA
